Titulo;Anio;Genero;Duracion;Reparto
Os Prodígios;2011;Animação, Ficção Científica;95 minutos;Dante Bacote,Dominic Gould,Isabelle Van Waes,Jacob Rosenbaum,Jeffrey Evan Thomas,Laurence Carter,Moon Dailly Monira,Antoine Charreyron
Máquina Mortífera 4;1998;Ação, Policial;127 minutos;Chris Rock,Danny Glover,Darlene Love,Jet Li,Joe Pesci,Mel Gibson,Rene Russo,Richard Riehle,Richard Donner
Cúmplices de um Segredo;2014;Drama, Suspense;100 minutos;Abigail Breslin,Georgie Henley,James Russo,Jeffrey Ballard,Jonathan Malen,Mira Sorvino,Rusty Schwimmer,Zoë Belkin,Stanley M. Brooks
Desculpa se Eu Existo;2014;Comédia;98 minutos;Ambra Dernjani,Cesare Bocci,Corrado Fortuna,Ennio Fantastichini,Fulvia Pistilli,Lunetta Savino,Marco Bocci,Paola Cortellesi,Raoul Bova,Stefania Rocca,Riccardo Milani
Aeroporto Central;2017;Documentários;96 minutos;Não Disponível,Karim Aïnouz
A Princesa e o Sapo;2009;Animação, Infantil;38 minutos;Disponível, Não,Robson Lima
Falando com o Paraíso - Parte 2;2002;Drama, Ficção Científica, Policial;87 minutos;Diane Ladd,Jay Brazeau,Mary Steenburgen,Michael Moriarty,Ted Danson,Stephen Gyllenhaal
República do Peru - 2ª Temporada;2019;Comédia, Independente;13 episódios;André Di Mauro,David Pinheiro,Dhu Moraes,Isadora Ribeiro,Joana Fomm,Lady Francisco,Monique Lafond,Robson Caetano,Carolina Paiva
Blind - Eu Estou Aqui;2020;Drama, Suspense, Terror;88 minutos;Ben Kaplan,Caroline Williams,Jed Rowen,Jessica Galetti,Kevin Cooper,Sarah French,Sheri Davis,Thomas Haley,Tyler Gallant,Marcel Walz
Mistérios - Cirurgias Espirituais;2015;Fé e Espiritualidade;25 minutos;Felipe Ohno,Márcia Cobêro,Norberto Gaviolle,André Marouço,Leandro Rocha
Turma do Folclore - 4ª Temporada;2019;Animação, Infantil;2 episódios;Pablo Sganzerla,Rafael Matinata Béber
A Invenção de um Novo Modo de Viver;2011;Documentário, Curta-Metragem;26 minutos;Não Disponível,Hermes Leal
O Guerreiro Polska;2017;Animação, Curta-Metragem, Infantil;25 minutos;Hubert Hanusiak,Julius Dekker,Marcel Jonker,Raymonde de Kuyper,Tomek Wlodarski,Wojciech Cecherz,Yentl Meijer,Camiel Schouwenaar
Buscando Buskers - 2ª Temporada;2018;Documentário;7 episódios;Não Disponível,Edu Felistoque,Gab Felistoque
Um Pombo Pousou Num Galho Refletindo sobre a Existência;2015;Comédia, Drama;99 minutos;Charlotta Larsson,Holger Andersson,Jonas Gerholm,Lotti Törnros,Nils Westblom,Ola Thorstensson,Roy Andersson
Cativas - Presas Pelo Coração;2014;Documentários;77 minutos;Não Disponível,Joana Nin
A Longa Caminhada;1971;Aventura, Clássico, Drama;96 minutos;Barry Donnelly,Carlo Manchini,David Gulpilil,Hilary Bamberger,Jenny Agutter,John Meillon,Luc Roeg,Noeline Brown,Robert McDarra,Nicolas Roeg
Tommy;1975;Drama, Clássico, Música;111 minutos;Ann-Margaret,Elton John,Roger Daltrey,Ken Russell
Stretch;2014;Comédia, Ação;94 minutos;Brooklyn Decker,David Hasselhoff,Ed Helms,James Badge Dale,Jessica Alba,Kevin Bigley,Patrick Wilson,Ray Liotta,Joe Carnahan
Uma Aventura Lego;2014;Animação, Aventura;100 minutos;Alison Brie,Charlie Day,Chris Pratt,Elizabeth Banks,Liam Neeson,Morgan Freeman,Will Arnett,Will Ferrell,Christopher Miller,Phil Lord
Juno;2007;Comédia, Drama;96 minutos;Allison Janney,Ellen Page,J.K. Simmons,Jason Bateman,Jennifer Garner,Michael Cera,Olivia Thirlby,Jason Reitman
Paciente Zero;2019;Terror;106 minutos;Christopher Dunne,Gabz Barker,Jane Garda,Jess Chanliau,Kate Bell,Meg Alexandra,Raymond Bethley,Tom Clegg,Russell Owen
O Invencível Homem de Ferro;2007;Animação, Ação, Aventura;83 minutos;Elisa Gabrielli,Fred Tatasciore,Gwendoline Yeo,James Sie,John McCook,Marc Worden,Rodney Saulsberry,Stephen Mendillo,Frank Paur,Jay Oliva,Patrick Archibald
Invocação do Mal 2;2016;Terror, Suspense;133 minutos;Frances O'Connor,Franka Potente,Madison Wolfe,Patrick Wilson,Shannon Kook-Chun,Simon McBurney,Steve Coulter,Vera Farmiga,James Wan
Era Uma Vez - Anastasia;2019;Aventura, Fantasia;89 minutos;Amiah Miller,Brandon Routh,Donna Murphy,Emily Carey,Jo Koy,Kendall Vertes,Sean Ramey,Shanna Collins,Blake Harris
Dominguinhos Canta e Conta Gonzaga;2014;Shows, Forró;100 minutos;Dominguinhos,Mauricio Machado,Wagner Malagrine
Cadê Meus Pais?;2018;Ação, Aventura, Comédia;98 minutos;Anja Kling,Axel Stein,Eloi Christ,Johannes Zeiler,Julia Hartmann,Lina Hüesker,Maximilian Ehrenreich,Oskar Keymer,Tim Trageser
Os 10 mandamentos para crianças - Um Dia em Conflito;2000;Fé e Espiritualidade, Infantil, Infantil, Kids;24 minutos;Brian Cummings (Voice),Chris Marquette (Voice),Jeannie Elias (Voice),Jesse Corti (Voice),Jodi Benson (Voice),Maurice Lamarche (Voice),Mona Marshall (Voice),Paul Winfield (Voice),Ken C. Johnson,Richard Rich
Um Refúgio no Passado;2004;Drama, Suspense;127 minutos;Colin Moy,Emily Barclay,Jimmy Keen,Matthew McFadyen,Miranda Otto,Brad McGann
Palavra Cantada - Show Brincadeiras Musicais;2011;Shows, Infantil;57 minutos;Daniel Aires,Estevão Marques,Julia Pittier,Marina Pittier,Paulo Tatit,Sandra Peres,Wem,Carlos Garcia,Marcelo Siqueira
Estilhaços - O Sagrado do Verniz e o Coração de Plástico;2015;Documentários;28 minutos;Leandro Primo Capello,Liége Zampol,Raul Carvalho,Renata Coppola,Kiko Goifman
Bernard - 2ª Temporada;2006;Animação, Infantil;13 episódios;Bernard,Eva,Lloyd,Zack,Claudio Biern Lliviria
O Imbatível III - Redenção;2010;Ação, Policial;96 minutos;Hristo Shopov,Ilram Choi,Mark Ivanir,Marko Zaror,Michael Baral,Mykel Shannon Jenkins,Robert Costanzo,Scott Adkins,Isaac Florentine
Batman - A Piada Mortal;2016;Animação, Ação;76 minutos;John DiMaggio,Kari Wahlgren,Kevin Conroy,Mark Hamill,Nolan North,Ray Wise,Robin Atkin Downes,Tara Strong,Sam Liu
Compreender Kardec - 1ª Temporada;2014;Documentários, Fé e Espiritualidade;37 episódios;Cosme Massi,Lilian Ramos Massi
Sherlock Holmes;2009;Aventura, Ação;128 minutos;Eddie Marsan,Geraldine James,Jude Law,Kelly Reilly,Mark Strong,Rachel McAdams,Robert Downey Jr.,Robert Maillet,Guy Ritchie
Brilho de Uma Paixão;2010;Romance, Drama;119 minutos;Abbie Cornish,Amanda Hale,Antonia Campbell-Hughes,Ben Whishaw,Claudie Blakley,Edie Martin,Kerry Fox,Paul Schneider,Jane Campion
O Experimento;2014;Ficção Científica, Terror;90 minutos;Angela DiMarco,Ben Andrews,David S. Hogan,Gabriel Congdon,Kate Alden,Lorraine Montez,Morgen Johnson,Russell Hodgkinson,Jeremy Berg
Celine Dion - Through The Eyes Of The World;2010;Shows, Pop Internacional;173 minutos;Celine Dion,Mark Lucas
Batman - A Máscara do Fantasma;1993;Animação, Ação;76 minutos;Disponível, Não,Bruce W. Timm,Eric Radomski
Jota Quest - Acústico;2017;Shows, Pop Nacional;136 minutos;Jota Quest,Joana Mazzucchelli
O Caótico Hotel Fitzroy;2017;Comédia, Ficção Científica;93 minutos;David Gant,David Schaal,Jan Anderson,John Wark,Kenneth Collard,Paul Freeman,Sarah Griffin,Stuart McGugan,Andrew Harmer
Habitantes - Eles Estão Aqui;2015;Terror, Ficção Científica, Suspense;80 minutos;Aaron Retford,Briana White,Chalet Lizette Brannan,Chris Winters,Jennifer Durst,Michael Pugliese,Robert Picardo,Scott Brown,Russ Emanuel
O Amigo do Rei;2018;Documentários;142 minutos;João Signorelli,Luciano Chirolli,Rafael Golombeck,André D'Elia
O Homem das Cavernas;2018;Animação, Comédia;88 minutos;Eddie Redmayne,Kayvan Novak,Maisie Williams,Marco Luque,Mark Williams,Nick Park,Richard Ayoade,Timothy Spall,Tom Hiddleston,Nick Park
Que Medo! Aquitã, o Indiozinho;2015;Ficção, Animação, Curta-Metragem, Infantil;4 minutos;Nathália Colón,Frata Soares
Despertar - Data Limite;2019;Documentários, Fé e Espiritualidade;80 minutos;Ademar Gevaerd,Danni Suzuki,Dr. Edson Amâncio,Edgar Mitchell,Geraldo Lemos Neto,Mateus Solano,Fabio Medeiros,Rebeca Casagrande
Rápida Vingança;2010;Ação, Policial;97 minutos;Billy Bob Thornton,Carla Gugino,Dwayne Johnson,Jan Hoag,Jim Gaines,Mauricio Lopez,Oliver Jackson-Cohen,Tom Berenger,George Tillman Jr.
Oleguns Olo Fê;2014;Curta-Metragem;7 minutos;Não Disponível,Fernando Mamari,Tarsilla Alves
A Batalha Final;1943;Clássico, Drama, Guerra;86 minutos;Alan Curtis,David Bruce,J. Carrol Naish,Noah Beery Jr.,Randolph Scott,Richard Lane,Sam Levene,Walter Sande,Ray Enright
Procurado Vivo ou Morto;1986;Ação, Clássico, Policial, Suspense;106 minutos;Gene Simmons,Jerry Hardin,Mel Harris,Robert Guillaume,Rutger Hauer,William Russ,Gary Sherman
Uma Crueldade;2016;Policial, Drama, Suspense;97 minutos;Atli Rafn Sigurðsson,Dofri Hermannsson,Guðrún María Bjarnadóttir,Hannes Óli Ágústsson,Margrét Vilhjálmsdóttir,Petur Oskar Sigurdsson,Salóme Gunnarsdóttir,Sveinn Ólafur Gunnarsson,Anton Sigurdsson
As Aventuras de Hello Kitty e Amigos - 1ª Temporada;2008;Animação, Infantil;26 episódios;Claudia S. Thompson,Maggie Blue O'Hara,Matthew Swanson,Philip Lau Siu Chung
O Zelador;2018;Suspense, Terror;88 minutos;Alex Essoe,Louisa Krause,Mattea Conforti,Patrick John Flueger,Paul Ben-Victor,Taylor Richardson,Val Kilmer,Yul Vazquez,Stephan Rick
Adriana Calcanhotto - Olhos de Onda;2014;Shows, MPB;67 minutos;Adriana Calcanhotto,Dora Jobim
Sobreviventes;2014;Drama, Suspense, Terror;91 minutos;Eric Balfour,Jeff Roop,Missy Peregrym,Nicholas Campbell,Adam MacDonald
Muhammad Ali - The Greatest;2014;Documentários;60 minutos;Muhammad Ali,William Simpson
A Linguagem de Orson Welles;1990;Curta-Metragem, Documentário;20 minutos;Edmar Morel,Grande Otelo,John Huston,Rogério Sganzerla
Dia dos Mortos 2 - O Contágio;2005;Terror, Ficção Científica;103 minutos;April Wade,Jackeline Olivier,John Freedom Henry,Justin Ipock,Kevin Wetmore Jr.,Laurie Baranyay,Mike Dalager,Stan Klimecko,Ana Clavell,James Glenn Dudelson
Espelho;2003;Ação, Policial, Suspense;113 minutos;Eun-pyo Jeong,Hye-na Kim,Ji-tae Yu,Ju-bong Gi,Myoeng-su Kim,Myung-min Kim,Yeong-jin Lee,Sung-ho Kim
Uma Grande Aventura;1978;Animação, Aventura, Drama;88 minutos;Denholm Elliott,Harry Andrews,John Bennett,John Hurt,Michael Graham Cox,Ralph Richardson,Richard Briers,Roy Kinnear,Zero Mostel,Martin Rosen
Astérix e o Segredo da Poção Mágica;2018;Animação, Aventura, Comédia;84 minutos;Alex Lutz,Alexandre Astier,Bernard Alane,Christian Clavier,Daniel Mesguich,Elie Semoun,François Morel,Guillaume Briat,Alexandre Astier,Louis Clichy
Golpe de Risco;2017;Ação, Aventura;107 minutos;Andy Lau,Eric Tsang,Jean Reno,Jingchu Zhang,Qi Shu,Tianyi You,Tony Yo-ning Yang,Yi Sha,Stephen Fung
Doce de Coco;2010;Curta-Metragem;20 minutos;Alan Ribeiro,Alisson Rodrigues,Débora Ingrid,Marcelia Cartaxo,Sidney Souto,Soia Lira,Allan Deberton
O Estranho;1946;Clássico, Drama, Policial;94 minutos;Billy House,Byron Keith,Edward G. Robinson,Konstantin Shayne,Loretta Young,Martha Wentworth,Orson Welles,Philip Merivale,Orson Welles
As Aventuras dos 7 Anões;2014;Comédia, Animação, Infantil;87 minutos;Boris Aljinovic,Gustav Peter Wöhler,Martin Schneider,Mirco Nontschew,Nina Hagen,Norbert Heisterkamp,Otto Waalkes,Ralf Schmitz,Boris Aljinovic,Harald Siepermann
Mommy;2014;Drama;138 minutos;Alexandre Goyette,Anne Dorval,Antoine Oppenheim,Michèle Lituac,Suzanne Clément,Viviane Pascal,Xavier Dolan
Sono Mortal;2016;Suspense, Terror;101 minutos;Billy Blair,Brea Grant,James Eckhouse,Jesse Borrego,Jesse Bradford,Jocelin Donahue,Lori Petty,Mona Lee Fultz,Phillip Guzman
Paulo - O Emissário;1998;Drama, Drama, Fé e Espiritualidade, Filme;52 minutos;Ducan Skinner,Garry Cooper,Ian Gelder,John Frederick Jones,Kermit Christman,Nicholas Walker,Robert Marcarelli
Ameaça ao Presidente;2016;Ação, Suspense;80 minutos;Estella Warren,James Remar,Johnny Messner,Michael Paré,Richard Burgi,Stephen Brown,Tristian Eggerling,Vinnie Jones,Timothy Woodward Jr.
Criaturas ao Ataque;2019;Comédia, Ficção Científica, Terror;89 minutos;Ava Preston,Dee Wallace,Jack Fulton,Jaeden Noel,Leon Clingman,Tashiana Washington,Vash Singh,Bobby Miller
Padre Marcelo Rossi - Momento de Fé Para Uma Vida Melhor - Edição de Natal;2007;Shows, Católico;57 minutos;Padre Marcelo Rossi,Claudio Rodrigues Tosta
Um Crime Nada Perfeito;2009;Comédia, Policial;90 minutos;Breckin Meyer,Christopher Walken,Joseph McKenna,Marcia Gay Harden,Morgan Freeman,Patricia B. Till,William H. Macy,Wynn Everett,Peter Hewitt
Como Eu Era Antes de Você;2016;Romance, Drama;110 minutos;Brendan Coyle,Charles Dance,Emilia Clarke,Janet McTeer,Jenna Coleman,Matthew Lewis,Sam Claflin,Vanessa Kirby,Thea Sharrock
Heróis;2009;Ação, Ficção Científica;111 minutos;Camilla Belle,Chris Evans,Colin Ford,Corey Stoll,Dakota Fanning,Djimon Hounson,Joel Gretsch,Neil Jackson,Paul McGuigan
Uma Amizade Verdadeira;2015;Aventura, Filme, Infantil, Kids;90 minutos;Bill Chott,Haley Busch,Lauren Holly,Lucas Mchugh Carroll,Matthew Settle,Shannon Elizabeth,William Burke,Zach Louis,Jay Kanzler
Um Porto Seguro;2013;Romance, Drama;115 minutos;Cobie Smulders,Cullen Moss,David Lyons,Josh Duhamel,Julianne Hough,Mike Pniewski,Lasse Hallström
Madonna - Sticky e Sweet Tour;2008;Shows, Pop Internacional;125 minutos;Alexander Kolpakov,Arkady Gips,Brian Frasier-Moore,Kevin Antunes,Madonna,Monte Pittman,Rickey Pageot,Sofia Boutella,Nathan Rissman,Nick Wickham
Superman e Batman - Apocalypse;2010;Ação, Animação;77 minutos;Andre Braugher,Edward Asner,Kevin Conroy,Summer Glau,Tim Daly,Lauren Montgomery
O Milagre de Santa Luzia - Cultura Popular;2014;Documentários;52 episódios;Não Disponível,Sergio Roizenblit
Aline Barros - Na Estrada;2010;Shows, Gospel;97 minutos;Aline Barros,Dayane Andrade
Guardiões;2006;Terror, Ficção Científica;87 minutos;Benjamin Budd,Chris Bell,Eric Cherney,Nick Driessen,Sally Huynh,Tara Ketterer,Tracy Hannemann,Tylan Canady,Drew Maxwell
O Iluminado;1980;Terror, Drama;119 minutos;Anne Jackson,Barry Nelson,Danny Lloyd,Jack Nicholson,Philip Stone,Scatman Crothers,Shelley Duvall,Tony Burton,Stanley Kubrick
Missão Cegonha;2017;Animação, Aventura;84 minutos;Nicolette Krebitz,Reza Memari,Toby Genkel
Samurai X - O Inferno de Kyoto;2014;Ação, Aventura;138 minutos;Emi Takei,Munetaka Aoki,Ryûnosuke Kamiki,Takeru Satô,Tatsuya Fujiwara,Yôsuke Eguchi,Yû Aoi,Yûsuke Iseya,Keishi Ohtomo
Sandokan - O Filme;1994;Animação, Infantil;75 minutos;Dave Mallow,Claudio Biern Boyd
Amigos Para Sempre;2019;Aventura, Drama;98 minutos;Bradley Trent Williams,Emma Bargery,Erik Thomson,Finn Little,Geoffrey Rush,Jai Courtney,Natasha Wanganeen,Nick Launchbury,Shawn Seet
Campeões pelo Brasil - 1ª Temporada;2016;Documentários;10 episódios;Diego Hypólito,Luciano Oreggia
Xingu Cariri Caruaru Carioca;2018;Documentários, Independente;92 minutos;Bernardo Aguiar,Carlos Malta,Beth Formaggini
Sonic - O Ouriço - 2ª Temporada;2014;Animação, Infantil;13 episódios;Bradley Pierce,Charlie Adler,Christine Cavanaugh,Jaleel White,Jim Cummings,Kath Soucie,Rob Paulsen,Dick Sebast
O Juiz;2014;Drama, Policial;141 minutos;Billy Bob Thornton,Dax Shepard,Jeremy Strong,Leighton Meester,Robert Downey Jr.,Robert Duvall,Vera Farmiga,Vincent D'Onofrio,David Dobkin
Bipolar - 1ª Temporada;2010;Drama, Policial;12 episódios;César Fischetti,Felipe Kannenberg,Fernando Daghlian,Phil Miler,Priscilla Alpha,Rodrigo Brassoloto,Sérgio Cavalcante,Sílvia Lourenço,Edu Felistoque
O Olho do Cão;2017;Suspense, Curta-Metragem;19 minutos;André Lemos,Edmur Abramides,Guiomar Ramos,Livia Abreu,Lorran Dias,Luciana Guedes,Rodrigo de Janeiro,Rodrigo Mello,Samuel Lara Lobo
Acorrentados;2012;Terror, Policial, Suspense;94 minutos;Conor Leslie,Daniel Maslany,Eamon Farren,Evan Bird,Gina Philips,Jake Weber,Julia Ormond,Vincent D'Onofrio,Jennifer Chambers Lynch
Brasil, Travessias - 1ª Temporada;2018;Documentário;13 episódios;Não Disponível,Silvio Tendler
